
--- Minimize function Ackley-10dim

TTOpt        | t=   0.6 | ey=1.9e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.8 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   1.1 | ey=1.9e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.9 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   1.1 | ey=1.9e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.7 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   3.3 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.2 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.2 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.2 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.3 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.6 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.2 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.3 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   3.3 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   2.7 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.9 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.1 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.2 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.3 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   3.2 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.6 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.8 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   1.6 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   1.6 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   2.4 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.7 | ey=2.1e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.7 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   2.5 | ey=2.1e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=1.9e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=2.1e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.6 | ey=1.9e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   3.3 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   4.2 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   4.3 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   3.4 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   2.0 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.1 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.1 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.2 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.1 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.2 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.2 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.5 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   3.2 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   3.1 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   2.9 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.8 | ey=1.9e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.9 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.6 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.7 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.7 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.7 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.7 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.6 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   2.7 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   3.6 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.9 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   3.5 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   2.6 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.1 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.2 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.0 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.3 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.2 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.1 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.3 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.0 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   2.2 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   9.1 | ey=2.0e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   9.5 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   9.6 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   9.2 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   9.8 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=  15.0 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=  13.0 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   8.8 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=  10.2 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   9.9 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   3.7 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.9 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.5 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.9 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   3.6 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
