
--- Minimize function Ackley-10dim

TTOpt        | t= 382.1 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 397.8 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 397.0 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 386.3 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 391.2 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 385.7 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 386.8 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Alpine-10dim

TTOpt        | t=   0.5 | ey=3.0e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=1.8e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=2.5e-04 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=9.9e-07 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=5.1e-07 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=1.8e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=9.8e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=1.4e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=2.5e-04 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=7.9e-06 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.8e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.3 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.8e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.2 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=2.9e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.2 | ey=2.8e-07 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.0 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.1 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.2 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.7 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.5 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.1 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  18.9 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.1 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  18.7 | ey=2.8e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.9 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.0 | ey=2.8e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.8 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  18.9 | ey=2.8e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  18.2 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  22.3 | ey=2.9e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.1 | ey=2.8e-07 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  39.1 | ey=2.9e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  37.8 | ey=2.9e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.4 | ey=2.8e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  36.7 | ey=2.9e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  37.9 | ey=2.8e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  36.5 | ey=2.8e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  36.4 | ey=2.8e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  39.7 | ey=2.9e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  36.7 | ey=2.9e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.8 | ey=2.8e-07 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 192.8 | ey=2.9e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 197.6 | ey=2.9e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 190.9 | ey=2.8e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 186.1 | ey=2.9e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 187.7 | ey=2.8e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 182.5 | ey=2.8e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 187.9 | ey=2.8e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 194.6 | ey=2.9e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 190.8 | ey=2.9e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 186.1 | ey=2.8e-07 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 379.0 | ey=2.9e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 374.8 | ey=2.9e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 371.3 | ey=2.8e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 373.9 | ey=2.9e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 380.0 | ey=2.8e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 381.0 | ey=2.8e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 376.1 | ey=2.8e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 377.9 | ey=2.9e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 367.7 | ey=2.9e-07 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 364.1 | ey=2.8e-07 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Brown-10dim

TTOpt        | t=   0.5 | ey=7.8e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=2.4e-04 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=1.3e-02 | evals=1.0e+04 | p=2, q=25, r=  4
